frame,total,word,phoneme,model,wb,nosym,inc,incword,incphn,incmodel,incother
175,1656,244,227,818,21,346,11,0,3,4,4
176,1870,70,272,1152,23,353,23,0,9,7,7
177,4642,366,640,2398,47,1191,70,0,17,25,28
178,5486,266,524,3844,37,815,35,0,11,10,14
179,9853,652,980,6397,59,1765,62,0,26,11,25
180,18659,1399,1485,12471,69,3235,48,0,9,20,19
181,16914,1400,1363,10896,64,3191,37,0,6,15,16
182,10996,1044,875,7084,38,1955,53,0,17,17,19
183,9122,1122,716,5683,32,1569,34,0,3,15,16
184,7035,862,552,4433,20,1168,25,0,14,3,8
185,6079,548,359,4154,25,993,37,0,19,3,15
186,422,71,47,211,17,76,33,0,19,2,12
187,1019,124,131,407,19,338,32,0,17,5,10
188,3572,292,495,1617,14,1154,13,0,2,8,3
189,6871,516,809,3539,22,1985,11,0,2,6,3
190,14637,1102,1802,7605,50,4078,7,0,0,6,1
191,13705,1155,1548,7539,59,3404,4,0,0,3,1
192,7222,631,663,4627,21,1280,8,0,0,7,1
193,5991,538,694,3647,15,1097,20,0,5,11,4
194,6105,375,965,3332,25,1408,41,0,9,19,13
195,12966,894,1622,7510,49,2891,39,0,5,18,16
196,5879,381,790,3318,31,1359,31,0,4,16,11
197,1599,94,156,978,24,347,15,0,1,8,6
198,3073,119,232,2156,24,542,31,0,1,25,5
199,8064,727,957,4613,34,1733,39,0,2,31,6
200,23343,2409,2041,14321,61,4511,54,0,2,47,5
201,10208,696,980,5974,42,2516,25,0,1,21,3
202,6364,562,629,3683,29,1461,20,0,0,19,1
203,4815,384,544,2822,15,1050,5,0,0,5,0
204,2990,203,321,1826,12,628,2,0,0,2,0
205,3150,200,265,1961,14,710,6,0,2,2,2
206,4002,281,397,2386,22,916,18,0,2,7,9
207,3393,198,269,2272,38,616,71,0,26,19,26
208,2680,122,140,1977,33,408,59,0,16,20,23
209,2362,130,137,1748,24,323,44,0,16,14,14
210,1951,168,148,1271,23,341,43,0,15,14,14
211,1321,144,142,732,34,269,64,0,13,26,25
212,2604,238,325,1466,34,541,56,0,8,25,23
213,5646,582,738,3116,16,1194,10,0,1,5,4
214,3123,309,451,1687,21,655,19,0,2,9,8
215,1999,221,309,966,22,481,30,0,4,14,12
216,2809,341,389,1569,17,493,19,0,3,9,7
217,3157,403,401,1738,20,595,24,0,9,8,7
218,3142,338,425,1690,21,668,25,0,9,8,8
219,5452,420,871,2807,23,1331,34,0,9,15,10
220,8883,601,1203,4640,56,2383,75,0,15,31,29
221,11944,655,1322,6716,67,3184,91,0,20,36,35
222,9200,489,1089,4968,64,2590,112,0,30,43,39
223,6155,263,749,3349,54,1740,86,0,18,35,33
224,4111,159,497,2072,54,1329,87,0,17,36,34
225,2675,115,330,1267,27,936,19,0,4,7,8
226,1094,107,126,353,18,490,10,0,2,4,4
227,637,111,32,84,12,398,9,0,1,5,3
228,467,91,14,37,11,314,5,0,1,2,2
229,414,84,8,34,11,277,2,0,0,1,1
230,303,81,6,16,2,198,2,0,0,1,1
231,223,79,0,16,2,126,2,0,0,1,1
232,221,79,0,16,2,124,2,0,0,1,1
233,212,79,0,16,2,115,2,0,0,1,1
234,203,79,0,16,2,106,2,0,0,1,1
235,174,79,0,16,2,77,2,0,0,1,1
236,187,79,0,16,2,90,2,0,0,1,1
237,193,79,0,16,2,96,2,0,0,1,1
238,195,79,0,16,2,98,2,0,0,1,1
239,140,79,0,16,1,44,2,0,0,1,1
240,210,81,0,16,2,111,2,0,0,1,1
241,266,84,4,16,6,156,3,0,0,1,2
